run,model,summary,diagnostic,n,TP,FP,FN,TN,n_positive,n_negative,FNR,FPR,AUC,q05,q95,min_error,max_error,max_gold_pmp
run1,m0,S=D,l2,17,0,14,0,3,0,17,,82.3529411764706,,-0.0053610020146018,0.004339750237485,-3.3617333665153936e-11,5.334527911887665e-08,8.41265030394665e-08
run1,m0,S=D,linf,17,0,5,0,12,0,17,,29.41176470588235,,-0.0053610020146018,0.004339750237485,-3.3617333665153936e-11,5.334527911887665e-08,8.41265030394665e-08
run1,m0,S=D,density,17,0,12,0,5,0,17,,70.58823529411765,,-0.0053610020146018,0.004339750237485,-3.3617333665153936e-11,5.334527911887665e-08,8.41265030394665e-08
run1,m0,S=D,mmd,17,0,6,0,11,0,17,,35.294117647058826,,-0.0053610020146018,0.004339750237485,-3.3617333665153936e-11,5.334527911887665e-08,8.41265030394665e-08
run1,m0,S=2D,l2,17,0,7,0,10,0,17,,41.1764705882353,,-0.0047116002883208,0.0039764940802742,-2.5189303113542737e-08,6.503773921923397e-11,8.41265030394665e-08
run1,m0,S=2D,linf,17,0,12,0,5,0,17,,70.58823529411765,,-0.0047116002883208,0.0039764940802742,-2.5189303113542737e-08,6.503773921923397e-11,8.41265030394665e-08
run1,m0,S=2D,density,17,0,14,0,3,0,17,,82.3529411764706,,-0.0047116002883208,0.0039764940802742,-2.5189303113542737e-08,6.503773921923397e-11,8.41265030394665e-08
run1,m0,S=2D,mmd,17,0,5,0,12,0,17,,29.41176470588235,,-0.0047116002883208,0.0039764940802742,-2.5189303113542737e-08,6.503773921923397e-11,8.41265030394665e-08
run1,m0,S=4D,l2,17,0,13,0,4,0,17,,76.47058823529412,,-0.0048450395588827,0.0045010628800316,-1.6436890611502375e-08,7.84422534433987e-14,8.41265030394665e-08
run1,m0,S=4D,linf,17,0,14,0,3,0,17,,82.3529411764706,,-0.0048450395588827,0.0045010628800316,-1.6436890611502375e-08,7.84422534433987e-14,8.41265030394665e-08
run1,m0,S=4D,density,17,0,17,0,0,0,17,,100.0,,-0.0048450395588827,0.0045010628800316,-1.6436890611502375e-08,7.84422534433987e-14,8.41265030394665e-08
run1,m0,S=4D,mmd,17,0,5,0,12,0,17,,29.41176470588235,,-0.0048450395588827,0.0045010628800316,-1.6436890611502375e-08,7.84422534433987e-14,8.41265030394665e-08
run1,m1,S=D,l2,17,9,5,3,0,12,5,25.0,100.0,20.0,-0.0016405874110885,0.001567276906692,-0.2205006740345429,0.3433318237733027,0.9799324942712744
