run,model,summary,diagnostic,scope,n,TP,FP,FN,TN,FNR,FPR,q05,q95
run1,m1,S=D,l2,nonempirical,119,5,39,8,67,61.53846153846154,36.79245283018868,-0.0016405874110885,0.001567276906692
run1,m1,S=D,linf,nonempirical,119,3,37,10,69,76.92307692307692,34.905660377358494,-0.0016405874110885,0.001567276906692
run1,m1,S=D,density,nonempirical,119,2,55,11,51,84.61538461538461,51.886792452830186,-0.0016405874110885,0.001567276906692
run1,m1,S=D,mmd,nonempirical,119,3,11,10,95,76.92307692307692,10.37735849056604,-0.0016405874110885,0.001567276906692
run1,m1,S=2D,l2,nonempirical,119,5,54,12,48,70.58823529411765,52.94117647058823,-0.0012848800783843,0.0012131901395627
run1,m1,S=2D,linf,nonempirical,119,4,51,13,51,76.47058823529412,50.0,-0.0012848800783843,0.0012131901395627
run1,m1,S=2D,density,nonempirical,119,5,74,12,28,70.58823529411765,72.54901960784314,-0.0012848800783843,0.0012131901395627
run1,m1,S=2D,mmd,nonempirical,119,5,30,12,72,70.58823529411765,29.41176470588235,-0.0012848800783843,0.0012131901395627
run1,m1,S=4D,l2,nonempirical,119,3,63,9,44,75.0,58.87850467289719,-0.0013253276273652,0.0013253276273652
run1,m1,S=4D,linf,nonempirical,119,3,59,9,48,75.0,55.14018691588785,-0.0013253276273652,0.0013253276273652
run1,m1,S=4D,density,nonempirical,119,8,78,4,29,33.333333333333336,72.89719626168224,-0.0013253276273652,0.0013253276273652
run1,m1,S=4D,mmd,nonempirical,119,4,30,8,77,66.66666666666667,28.037383177570092,-0.0013253276273652,0.0013253276273652
run1,m3,S=D,l2,nonempirical,119,15,33,29,42,65.9090909090909,44.0,-2.1057395365146717e-05,0.0001551607952634
run1,m3,S=D,linf,nonempirical,119,15,28,29,47,65.9090909090909,37.333333333333336,-2.1057395365146717e-05,0.0001551607952634
run1,m3,S=D,density,nonempirical,119,11,31,33,44,75.0,41.333333333333336,-2.1057395365146717e-05,0.0001551607952634
run1,m3,S=D,mmd,nonempirical,119,12,24,32,51,72.72727272727273,32.0,-2.1057395365146717e-05,0.0001551607952634
run1,m3,S=2D,l2,nonempirical,119,14,20,46,39,76.66666666666667,33.898305084745765,-3.241884120067353e-05,1.0922668679607744e-05
run1,m3,S=2D,linf,nonempirical,119,11,20,49,39,81.66666666666667,33.898305084745765,-3.241884120067353e-05,1.0922668679607744e-05
run1,m3,S=2D,density,nonempirical,119,24,33,36,26,60.0,55.932203389830505,-3.241884120067353e-05,1.0922668679607744e-05
run1,m3,S=2D,mmd,nonempirical,119,13,16,47,43,78.33333333333333,27.11864406779661,-3.241884120067353e-05,1.0922668679607744e-05
run1,m3,S=4D,l2,nonempirical,119,14,24,36,45,72.0,34.78260869565217,-8.880142746641938e-05,1.4711300834054452e-05
run1,m3,S=4D,linf,nonempirical,119,14,23,36,46,72.0,33.333333333333336,-8.880142746641938e-05,1.4711300834054452e-05
run1,m3,S=4D,density,nonempirical,119,16,34,34,35,68.0,49.27536231884058,-8.880142746641938e-05,1.4711300834054452e-05
run1,m3,S=4D,mmd,nonempirical,119,11,24,39,45,78.0,34.78260869565217,-8.880142746641938e-05,1.4711300834054452e-05
run2,m1,S=D,l2,nonempirical,119,4,40,9,66,69.23076923076923,37.735849056603776,-0.0021464317339203,0.0019121741140353
