diagnostic,assumed_model,summary,n_selected,n_total,min_abs_error,max_abs_error,min_source,min_id,min_ties,max_source,max_id,max_ties,max_signed_error,source_path
l2,m1,S=D,450,600,0,0.024103317115471201,m7,0,50,m9,13,1,-0.024103317115471201,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_20d_10n/diagnostics/l2/pmp_ambiguity_frame.csv
l2,m2,S=D,450,600,0,8.5402573901660617e-11,m2,0,98,m5,15,1,-8.5402573901660617e-11,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_20d_10n/diagnostics/l2/pmp_ambiguity_frame.csv
l2,m3,S=D,450,600,0,1.0378300917459626e-41,m3,0,100,m1,27,1,1.0378300917459626e-41,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_20d_10n/diagnostics/l2/pmp_ambiguity_frame.csv
l2,m4,S=D,450,600,0,0.024103317115471201,m7,0,50,m9,13,1,0.024103317115471201,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_20d_10n/diagnostics/l2/pmp_ambiguity_frame.csv
l2,m1,S=2D,397,600,0,0.017587047944920099,m7,0,40,m9,43,1,-0.017587047944920099,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_40d_10n/diagnostics/l2/pmp_ambiguity_frame.csv
l2,m2,S=2D,397,600,0,3.078386769657794e-13,m2,0,87,m5,32,1,-3.078386769657794e-13,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_40d_10n/diagnostics/l2/pmp_ambiguity_frame.csv
l2,m3,S=2D,397,600,0,1.2395536844823118e-41,m3,0,88,m1,38,1,1.2395536844823118e-41,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_40d_10n/diagnostics/l2/pmp_ambiguity_frame.csv
l2,m4,S=2D,397,600,0,0.017587047944920199,m7,0,40,m9,43,1,0.017587047944920199,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_40d_10n/diagnostics/l2/pmp_ambiguity_frame.csv
l2,m1,S=4D,314,600,0,0.0264512350880357,m7,3,10,m10,17,1,0.0264512350880357,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_80d_10n/diagnostics/l2/pmp_ambiguity_frame.csv
l2,m2,S=4D,314,600,0,5.1146198387641555e-11,m2,0,58,m5,15,1,-5.1146198387641555e-11,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_80d_10n/diagnostics/l2/pmp_ambiguity_frame.csv
l2,m3,S=4D,314,600,0,3.8940008857005184e-42,m3,0,57,m1,27,1,-3.8940008857005184e-42,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_80d_10n/diagnostics/l2/pmp_ambiguity_frame.csv
